"business_id","name","state","city","ReviewCount","AverageStars"
"-4dYswJy7SPcbcERvitmIg","Pathmark","PA","Philadelphia","34","2.5"
"-7GDqSUaXrpC8Ql7nDBxWA","B2 Bluefin","PA","Bala Cynwyd","92","4"
"-aeZuatjCDMV1X4gCTz9Ug","David Thomas Trailways","PA","Philadelphia","6","4.5"
"-ZXYcCyDjj1QimnJyGtYtg","Gilley's Antique Mall","IN","Plainfield","24","4.5"
"07JLsUInZr5OSiYH2XVi4g","Elegance African Hair Braiding","PA","Philadelphia","8","2"
"0bPLkL0QhhPO5kt1_EXmNQ","Zio's Italian Market","FL","Largo","100","4.5"
"0qNpTGTcqPwOLi2hADx4Xw","Charlie's Market","FL","Tampa","9","3"
"0vCsslN-TYnDeOSNT4rIfg","Whole Foods Market","IN","Carmel","44","3.5"
"1dSKEitDDgIkaApe6UNMSA","The Pepper Pott","TN","Nashville","18","5"
"1GnJDrpp-jyDRCptavD9RQ","Rita's Italian Ice","PA","Aston","7","4"
"1MeIwdbTnZOBFCKOrgaxuw","Ricardo's Italian Cafe","MO","Saint Louis","80","3.5"
"25Uww0C0wvF9CZ_3B6vWtA","Enjoy The Mountain","CA","Santa Barbara","48","4.5"
"2Bi3ef7c0CrLxHD_-yy_tw","AIM Mail Center","AZ","Oro Valley","13","3"
"2dlQX5sP9X6Dlm1MmNOlSw","ReAnimator Coffee","PA","Philadelphia","105","4"
"2n9HHBxG7yAyAUwXXa49aw","Mighty Dustless","PA","Southampton","5","4"
"2oxrOO3c9_mQmqM9kwEm9Q","Total Access Urgent Care","MO","Saint Louis","6","3.5"
"2xVsWBNFwZOxIOdd9Mwnww","Cheeseburger In Paradise","PA","Exton","20","2.5"
"35dqrE4z9qWCtCn749oorg","Rippy's Central Pike Collision Repair","TN","Hermitage","5","2.5"
"3BJxm-HnvzdwD1zjmSbmyQ","Golden Chopstick Chinese Restaurant","PA","Philadelphia","137","3"
"3S9GYtMOYhbZl4MMPOHT0Q","The Handlebar Boise","ID","Boise","34","4.5"
"4dVrWc4Nhuw9apfk9BWEcA","Walmart Supercenter","FL","Tarpon Springs","29","2"
"4IcB3QyMEA85UTWFKh9O9A","Eat Mah Taco @ Pal's Lounge","LA","New Orleans","8","4.5"
"4iRzR7OaS-QaSXuvYxEGKA","Super Dog","TN","Nashville","6","4"
"59jkCUm4yHciKL1KW_1HJA","Roma Pizza & Italian Eatery","PA","Warrington","25","2.5"
"5BmQX4UVJY19mMtafMg7JA","Breadland Organic Whole Grain Bakery","AB","Edmonton","23","4"
"5BYQP7i7ckUlgSzX4Yhnmw","A-1 Expert Cleaning Services","PA","Levittown","5","5"
"6BF3eaIzHtoNHSxKTFnTyg","Mister B's Cigar Box","IN","Avon","13","3.5"
"6bFx8j2KqPfmT0XEUS1RMg","Center City Emergency Dentist","PA","Philadelphia","120","3.5"
"6czqMScx8MRDirv7fxX7pw","Frankie's Fruit Bar","NV","Reno","34","4.5"
"6I_DA3uqOox50rBvjrQ_-g","Aloft Philadelphia Airport","PA","Philadelphia","175","3"
"7clCBgNbd-x2Wj96lZ6Mjw","Bier Brewery and Tap Room","IN","Indianapolis","139","4.5"
"7Du9oW73YcYFmXdtU5aiSg","Kinjo's Japanese Restaurant","FL","Saint Petersburg","17","3.5"
"7FHjj04Wy2aqXl22NA_C0g","Aldi","IN","Indianapolis","18","4"
"8c0r7olQSYGcws0bTd3ikw","Zesty Tsunami","FL","New Port Richey","5","4"
"8KMIT0NXu30Jz5Ojo5uxaw","Cornerstone Physical Therapy Associates","PA","Bensalem","6","5"
"8p9euqoMCbT4AIL_Fgqb0g","Ballistic Fabrication","AZ","Tuscon","5","4"
"8rb-3VYXE37IZix4yOdskw","Sharky's Sports Bar & Grill","NJ","Williamstown","29","2.5"
"8sshLb4UU7emeUDvtJWnpA","DanceLine","PA","Paoli","11","4.5"
"8wGISYjYkE2tSqn3cDMu8A","Nifty Car Rental","LA","Kenner","14","3.5"
"96qKAK06EdkG6GPVxKDdTw","Goin' Postal Westhaven","TN","Franklin","16","3.5"
"9C2rpb56aQvW0ViZHK9sPw","Home Plate Sports Pub","AZ","Tucson","56","3.5"
"9LLxOjEhLNcdx8i4lL6EUQ","Banfield Pet Hospital","IN","Indianapolis","10","2"
"9OG5YkX1g2GReZM0AskizA","Romano's Macaroni Grill","NV","Reno","339","2.5"
"9Rww8yE6Dm4dSMEq09nwXg","Holly Nails & Spa","FL","Pinellas Park","16","4.5"
"ABxoFuzZy5mqQ8C5FJJajQ","Core de Roma","PA","Bala Cynwyd","12","5"
"aCDY7vXYMs54EbYuQScsnQ","39 North Taproom & Grill","PA","Glenolden","25","4.5"
"anLQj9AM8vjbcLSIE0iUgg","Papa Murphy's","AZ","Tucson","22","4"
"aNLr1j_3CZ46rqiUeLaQ-A","Chinatown Market Shoe Repair And Tailor","PA","Philadelphia","23","5"
"aNtKyc2rr-uK5cqzY9TVQQ","Chipotle Mexican Grill","FL","Largo","19","3"
"aPNXGTDkf-4bjhyMBQxqpQ","Craft Hall","PA","Philadelphia","65","3.5"
"AzwiKZjVqHOxLaYtPAx8lA","Target","PA","Wyncote","37","2.5"
"B2qqjCl_BNNnXvWWfpFiLA","Pottery Barn Kids","TN","Nashville","13","1.5"
"bBDDEgkFA1Otx9Lfe7BZUQ","Sonic Drive-In","TN","Nashville","10","1.5"
"bCBPXIVfVzBZBEpFu29dcg","All In Shipping","IL","Belleville","5","5"
"bi3SICnYEuFC7Cihyqz8Nw","Thach Used Tires","FL","Tampa","5","5"
"bqmX882_6AxVA_uHEQ70sQ","Shanghai Station","PA","Philadelphia","46","4"
