name,business_id,state,city
"Abby Rappoport, LAC, CMQ",Pns2l4eNsfO8kk83dixA6A,CA,Santa Barbara
The UPS Store,mpf3x-BjTdTEA3yCZrAYPw,MO,Affton
Target,tUFrWirKiKi_TAnsVWINQQ,AZ,Tucson
St Honore Pastries,MTSW4McQd7CbVtyjqoe9mw,PA,Philadelphia
Perkiomen Valley Brewery,mWMc6_wTdE0EUBKIGXDVfA,PA,Green Lane
Sonic Drive-In,CF33F8-E6oudUQ46HnavjQ,TN,Ashland City
Famous Footwear,n_0UpQx1hsNbnPUSlodU8w,MO,Brentwood
Temple Beth-El,qkRM_2X51Yqxk3btlwAQIg,FL,St. Petersburg
Tsevi's Pub And Grill,k0hlBqXX-Bt0vf1op7Jr1w,MO,Affton
Sonic Drive-In,bBDDEgkFA1Otx9Lfe7BZUQ,TN,Nashville
Marshalls,UJsufbvfyfONHeWdvAHKjA,FL,Land O' Lakes
Denny's,il_Ro8jwPlHresjw9EGmBg,IN,Indianapolis
Adams Dental,jaxMSoInw8Poo3XeMJt8lQ,FL,Clearwater
Zio's Italian Market,0bPLkL0QhhPO5kt1_EXmNQ,FL,Largo
Tuna Bar,MUTTqe8uqyMdBl186RmNeA,PA,Philadelphia
Arizona Truck Outfitters,rBmpy_Y1UbBx8ggHlyb7hA,AZ,Tucson
Herb Import Co,M0XSSHqrASOnhgbWDJIpQA,LA,New Orleans
Nifty Car Rental,8wGISYjYkE2tSqn3cDMu8A,LA,Kenner
BAP,ROeacJQwBeh05Rqg7F6TCg,PA,Philadelphia
Roast Coffeehouse and Wine Bar,WKMJwqnfZKsAae75RMP6jA,AB,Edmonton
Barnes & Noble Booksellers,qhDdDeI3K4jy2KyzwFN53w,IN,Indianapolis
Hibachi Express,kfNv-JZpuN6TVNSO6hHdkw,IN,Indianapolis
Romano's Macaroni Grill,9OG5YkX1g2GReZM0AskizA,NV,Reno
Super Dog,4iRzR7OaS-QaSXuvYxEGKA,TN,Nashville
Indian Walk Veterinary Center,PSo_C1Sfa13JHjzVNW6ziQ,PA,Newtown
H&M,noByYNtDLQAra9ccqxdfDw,CA,Santa Barbara
The Green Pheasant,tMkwHmWFUEXrC9ZduonpTg,TN,Nashville
Bar One,QdN72BWoyFypdGJhhI5r7g,PA,Philadelphia
Domino's Pizza,sqSqqLy0sN8n2IZrAbzidQ,TN,White House
Altitude Trampoline Park - Boise,fvWn8oXXwbj2l79cochZyw,ID,Boise
DeSandro on Main,Mjboz24M9NlBeiOJKLEd_Q,PA,Philadelphia
DanceLine,8sshLb4UU7emeUDvtJWnpA,PA,Paoli
Ardmore Pizza,kV_Q1oqis8Qli8dUoGpTyQ,PA,Ardmore
River 127,w_AMNoI1iG9eay7ncmc67w,LA,New Orleans
Craft Hall,aPNXGTDkf-4bjhyMBQxqpQ,PA,Philadelphia
Cheeseburger In Paradise,2xVsWBNFwZOxIOdd9Mwnww,PA,Exton
T-Mobile,mGFsPRHdE6SMV1gYQ6GzgQ,DE,Wilmington
Edwardsville Children's Museum,LcAozWCMLGjwRbokaJAKMg,IL,Edwardsville
Diamond Hair Company,x1mhq4IpWctQOBM06dU8vg,IN,Indianapolis
Tony's Restaurant & 3rd Street Cafe,ljxNT9p0y7YMPx0fcNBGig,IL,Alton
Stomel Elliot Attorney-At-Law,lwItZ1Ck3KtpCgG4CPFmpQ,NJ,Cherry Hill
Bala Better Health,Kq51_lGAgAigqmENITTr-A,PA,Bala Cynwyd
Pier 1,mglME3E7esPSpIF5bias8w,PA,Springfield
