business_id,review_count,stars
Pns2l4eNsfO8kk83dixA6A,7,5.0
mpf3x-BjTdTEA3yCZrAYPw,15,3.0
tUFrWirKiKi_TAnsVWINQQ,22,3.5
MTSW4McQd7CbVtyjqoe9mw,80,4.0
mWMc6_wTdE0EUBKIGXDVfA,13,4.5
CF33F8-E6oudUQ46HnavjQ,6,2.0
n_0UpQx1hsNbnPUSlodU8w,13,2.5
qkRM_2X51Yqxk3btlwAQIg,5,3.5
k0hlBqXX-Bt0vf1op7Jr1w,19,3.0
bBDDEgkFA1Otx9Lfe7BZUQ,10,1.5
UJsufbvfyfONHeWdvAHKjA,6,3.5
il_Ro8jwPlHresjw9EGmBg,28,2.5
jaxMSoInw8Poo3XeMJt8lQ,10,5.0
0bPLkL0QhhPO5kt1_EXmNQ,100,4.5
MUTTqe8uqyMdBl186RmNeA,245,4.0
rBmpy_Y1UbBx8ggHlyb7hA,10,4.5
M0XSSHqrASOnhgbWDJIpQA,5,4.0
8wGISYjYkE2tSqn3cDMu8A,14,3.5
ROeacJQwBeh05Rqg7F6TCg,205,4.5
WKMJwqnfZKsAae75RMP6jA,40,4.0
qhDdDeI3K4jy2KyzwFN53w,38,4.0
kfNv-JZpuN6TVNSO6hHdkw,20,4.0
9OG5YkX1g2GReZM0AskizA,339,2.5
4iRzR7OaS-QaSXuvYxEGKA,6,4.0
PSo_C1Sfa13JHjzVNW6ziQ,15,5.0
noByYNtDLQAra9ccqxdfDw,24,3.0
tMkwHmWFUEXrC9ZduonpTg,161,4.0
QdN72BWoyFypdGJhhI5r7g,65,4.0
sqSqqLy0sN8n2IZrAbzidQ,8,3.5
fvWn8oXXwbj2l79cochZyw,30,5.0
Mjboz24M9NlBeiOJKLEd_Q,41,3.0
8sshLb4UU7emeUDvtJWnpA,11,4.5
kV_Q1oqis8Qli8dUoGpTyQ,109,3.5
w_AMNoI1iG9eay7ncmc67w,12,3.0
aPNXGTDkf-4bjhyMBQxqpQ,65,3.5
2xVsWBNFwZOxIOdd9Mwnww,20,2.5
mGFsPRHdE6SMV1gYQ6GzgQ,6,2.0
LcAozWCMLGjwRbokaJAKMg,12,4.5
x1mhq4IpWctQOBM06dU8vg,25,1.5
ljxNT9p0y7YMPx0fcNBGig,94,3.0
lwItZ1Ck3KtpCgG4CPFmpQ,5,5.0
Kq51_lGAgAigqmENITTr-A,13,4.0
mglME3E7esPSpIF5bias8w,8,2.5
wghnIlMb_i5U46HMBGx9ig,23,3.0
JX4tUpd09YFchLBuI43lGw,12,4.0
lk9IwjZXqUMqqOhM774DtQ,159,3.5
bCBPXIVfVzBZBEpFu29dcg,5,5.0
ABxoFuzZy5mqQ8C5FJJajQ,12,5.0
Hwt3_mOEmU-t--ywcemnMg,17,3.0
5BmQX4UVJY19mMtafMg7JA,23,4.0
cVBxfMC4lp3DnocjYA3FHQ,20,5.0
0qNpTGTcqPwOLi2hADx4Xw,9,3.0
xM6LoUcnpDpMBzXs_7dXAg,37,3.0
txyXRytGjwOXvS8s4sc-WA,29,3.0
DQ7PyYlp2bX96WZa7TcaWQ,8,2.5
uI9XODGY_2_ieTE6xJ0myw,23,4.0
JgpnXv_0XhV3SfbfB50nxw,35,4.0
Si6LXSR9gvAbmgO5DzV2cw,38,2.5
seKihQKpGGnCeLuELRQPSQ,257,3.5
L_TT0BFmFwORAMaA83K54A,23,2.5
mjWvAkNqoA6Y5P03sDSzfA,10,2.0
qfWJmJ0g96eM_fWma3ja0g,114,3.0
uczmbBk5O3tYhGue13dCDg,38,4.0
eYxGFkxo6m3SYGVTh5m2nQ,8,4.5
lOP3HxdUTaq0eXhwR_KC-w,13,4.0
KWA2qtdwVEkMpd5soSKaGA,7,3.5
gbN4RuUiiBxQ2GBFQ2p3Cw,7,5.0
B2qqjCl_BNNnXvWWfpFiLA,13,1.5
8rb-3VYXE37IZix4yOdskw,29,2.5
9Rww8yE6Dm4dSMEq09nwXg,16,4.5
aCDY7vXYMs54EbYuQScsnQ,25,4.5
-4dYswJy7SPcbcERvitmIg,34,2.5
mFTaYsRDyeFaY2NDLfSaAA,5,4.5
x9K0RfZaT_zlw6DklBDzjw,9,3.5
pJfh3Ct8iL58NZa8ta-a5w,95,4.5
cvP_vh_bOLbCY3eoY1Xw-A,7,4.5
7clCBgNbd-x2Wj96lZ6Mjw,139,4.5
ppFCk9aQkM338Rgwpl2F5A,56,3.0
NZ_bFJma7brQUfln5h1UAg,6,3.5
eMjnw_7wp-CscyNh6Lu0ZA,58,4.5
IDtLPgUrqorrpqSLdfMhZQ,389,4.0
sE6jSnvMts_MAn-b4OkMAw,5,4.0
